st1;st2;chi2;chi2error;offset
11;10;621.582408587;0.773444043904;0
12;10;423.72504632;0.644638375118;0
12;11;263.718882262;0.483457345223;0
13;10;304.437981433;0.543824473409;0
13;11;159.489058075;0.382643443514;0
13;12;101.053025392;0.259558652754;0
14;10;233.624321285;0.465883125209;0
14;11;100.316467467;0.304702095314;0
14;12;51.1832401353;0.186436404844;0
14;13;48.2999054745;0.191514268961;0
15;10;191.876297272;0.405960396854;0
15;11;67.5183097815;0.244779366959;0
15;12;25.5372486732;0.130861969921;0
15;13;28.2517870677;0.145790942145;0
15;14;51.7601329242;0.193595043482;0
16;10;167.279566794;0.359882602696;0
16;11;49.8036107081;0.198701572801;0
16;12;13.3222331435;0.0918705675975;0
16;13;20.341275846;0.12223148881;0
16;14;47.1775245356;0.183423492994;0
16;15;80.5045293271;0.238072853394;0
17;10;152.729464213;0.324240851314;0
17;11;40.5768456875;0.16305982142;0
17;12;8.34954228438;0.0686059516338;0
17;13;18.6981730277;0.115388924544;0
17;14;48.1085962752;0.179061224925;0
17;15;83.4146733604;0.235688203221;0
17;16;118.068966774;0.279429537718;0
18;10;144.057991237;0.296318249742;0
18;11;36.0758028383;0.136981215336;0
18;12;7.18124300874;0.0584205354591;0
18;13;20.1383527594;0.114840624359;0
18;14;51.5654460011;0.181708510865;0
18;15;88.4219757157;0.240192777973;0
18;16;124.268495168;0.285451798657;0
18;17;156.472004086;0.320900327906;0
19;10;138.842411263;0.278323121583;0
19;11;34.1993249697;0.128177578956;0
19;12;7.97316402137;0.0619908059964;0
19;13;23.0187820269;0.125886441312;0
19;14;56.0605449356;0.195381980336;0
19;15;94.1584621047;0.255244785963;0
19;16;130.959550836;0.301276502326;0
19;17;163.901431057;0.336882611956;0
19;18;192.436314735;0.364777290927;0
20;10;135.68673565;0.275769044731;0
20;11;33.8081027874;0.13032410356;0
20;12;9.79111790192;0.0762348540283;0
20;13;26.5658186454;0.143438187418;0
20;14;60.9443717931;0.213289303655;0
20;15;100.07003765;0.27321203201;0
20;16;137.661417375;0.319289826167;0
20;17;171.214597585;0.354931577549;0
20;18;200.228388314;0.382854179122;0
20;19;225.185941461;0.405210726258;0
21;10;133.802797376;0.274945330216;0
21;11;34.3211330959;0.137909957902;0
21;12;12.2196536609;0.0907744561043;0
21;13;30.4935863872;0.159246066394;0
21;14;66.0312273195;0.229337911752;0
21;15;106.048020981;0.289260640108;0
21;16;144.324636586;0.335338434265;0
21;17;178.407855339;0.370980185647;0
21;18;207.836890956;0.398902787219;0
21;19;233.126914625;0.421259334356;0
21;20;255.226926916;0.439768392026;0
22;10;132.771439367;0.276493142751;0
22;11;35.4863205976;0.146425324911;0
22;12;15.1401811909;0.104157553192;0
22;13;34.787987278;0.173732165989;0
22;14;71.3877986074;0.244044611849;0
22;15;112.221208219;0.303967340204;0
22;16;151.125763551;0.350045134361;0
22;17;185.694701555;0.385686885743;0
22;18;215.504261264;0.413609487316;0
22;19;241.098955857;0.435966034452;0
22;20;263.451206192;0.454475092122;0
22;21;283.684369405;0.47052370022;0
23;10;132.406262652;0.281516937854;0
23;11;37.2467470216;0.155082288358;0
23;12;18.599254993;0.117108413089;0
23;13;39.5765621139;0.187750404449;0
23;14;77.2042386608;0.258276326021;0
23;15;118.827889777;0.318199054376;0
23;16;158.340104111;0.364276848534;0
23;17;193.379073971;0.399918599916;0
23;18;223.556867892;0.427841201488;0
23;19;249.446393376;0.450197748624;0
23;20;272.04273516;0.468706806295;0
23;21;292.487542211;0.484755414392;0
23;22;311.917906427;0.499462114489;0
24;10;132.66809581;0.28763498522;0
24;11;39.6510326264;0.164323584821;0
24;12;22.7156528764;0.1304773509;0
24;13;45.0329997689;0.201879763197;0
24;14;83.6966892531;0.272620852669;0
24;15;126.116845988;0.332543581024;0
24;16;166.241536139;0.378621375182;0
24;17;201.754263721;0.414263126564;0
24;18;232.303210786;0.442185728136;0
24;19;258.489904239;0.464542275272;0
24;20;281.332272344;0.483051332943;0
24;21;301.990400898;0.49909994104;0
24;22;321.616249693;0.513806641137;0
24;23;341.241108875;0.528038355309;0
25;10;133.593273412;0.294468991326;0
25;11;42.7730888147;0.174861301327;0
25;12;27.593315265;0.144391998827;0
25;13;51.2847438464;0.2163680594;0
25;14;91.0107647905;0.287329782824;0
25;15;134.247661304;0.347252511179;0
25;16;175.000386401;0.393330305336;0
25;17;210.998906885;0.428972056718;0
25;18;241.928435744;0.456894658291;0
25;19;268.419846319;0.479251205427;0
25;20;291.514490715;0.497760263098;0
25;21;312.391359921;0.513808871195;0
25;22;332.217659318;0.528515571291;0
25;23;352.036495099;0.542747285464;0
25;24;372.642336125;0.557091812112;0
26;10;135.2130869;0.301877048576;0
26;11;46.6236354625;0.186246763582;0
26;12;33.2265225447;0.158521075759;0
26;13;58.3132078367;0.231079624704;0
26;14;99.1179310953;0.302265382118;0
26;15;143.184153599;0.362188110473;0
26;16;184.574591852;0.40826590463;0
26;17;221.066391457;0.443907656012;0
26;18;252.382366992;0.471830257585;0
26;19;279.183190474;0.494186804721;0
26;20;302.533998817;0.512695862392;0
26;21;323.632979535;0.528744470489;0
26;22;343.66281854;0.543451170585;0
26;23;363.67862016;0.557682884758;0
26;24;384.482988341;0.572027411406;0
26;25;406.472556584;0.586736341561;0
