st1;st2;chi2;chi2error;offset
11;10;112735.231795;35.8658699104;0
11;10;112707.407595;35.8538375503;1
11;10;112633.002665;35.8169841352;2
11;10;112542.398607;35.757517144;3
11;10;112501.572325;35.682440151;4
11;10;112551.636662;35.5955786318;5
11;10;112698.463948;35.4989899864;6
11;10;112951.39499;35.3974627387;7
11;10;113338.725798;35.299755375;8
11;10;113913.117868;35.2188777673;9
11;10;114687.252598;35.160487013;10
12;10;85159.9557172;31.2660383656;0
12;10;85082.5990983;31.244425189;1
12;10;84872.6893546;31.17822709;2
12;10;84601.7747473;31.0714092612;3
12;10;84406.7776732;30.9365519023;4
12;10;84388.5427773;30.7805265395;5
12;10;84580.3734609;30.6070287861;6
12;10;85005.1798924;30.4246600478;7
12;10;85705.4921859;30.2491527921;8
12;10;86756.9991994;30.103876055;9
12;10;88172.0118104;29.9989914213;10
12;11;60639.507085;24.9470726415;0
12;11;60639.0000694;24.9374918251;1
12;11;60645.1986784;24.9081471411;2
12;11;60676.9670345;24.8607963035;3
12;11;60773.9581517;24.8010159377;4
12;11;60959.9509058;24.731852094;5
12;11;61233.8694729;24.654942986;6
12;11;61595.0765315;24.5741014955;7
12;11;62053.5464965;24.4963016034;8
12;11;62633.3064339;24.4319024741;9
12;11;63336.9233326;24.3854085947;10
13;10;67113.1636698;27.645024443;0
13;10;66979.7407725;27.6158691925;1
13;10;66615.6009329;27.5265707889;2
13;10;66135.2857594;27.3824781077;3
13;10;65743.0485928;27.2005613;4
13;10;65603.5912822;26.9900897605;5
13;10;65786.0026043;26.7560487137;6
13;10;66327.6986929;26.5100410879;7
13;10;67277.2405201;26.2732893084;8
13;10;68716.6542202;26.0773172052;9
13;10;70651.4304543;25.9358323215;10
13;11;44456.158014;21.3260587189;0
13;11;44438.1778002;21.3089358285;1
13;11;44401.6960653;21.25649084;2
13;11;44391.0135926;21.1718651501;3
13;11;44488.4807204;21.0650253354;4
13;11;44753.4311792;20.9414153151;5
13;11;45198.1337263;20.8039629137;6
13;11;45825.2734239;20.6594825355;7
13;11;46647.5022927;20.5204381197;8
13;11;47695.9716478;20.4092356986;9
13;11;48968.7406866;20.3424836291;10
13;12;33035.3702118;17.0142035077;0
13;12;33048.6269133;17.0066614337;1
13;12;33094.7685202;16.9842002573;2
13;12;33185.2521098;16.9501833548;3
13;12;33343.1603845;16.9133404896;4
13;12;33581.5123365;16.8817109576;5
13;12;33895.7839717;16.8723319632;6
13;12;34280.392701;16.8829144828;7
13;12;34735.3460888;16.9264655773;8
13;12;35268.3950152;17.0137311274;9
13;12;35876.872966;17.1387281204;10
14;10;55209.5299111;24.8035138111;0
14;10;55021.5774872;24.7684400848;1
14;10;54507.0699444;24.6610142279;2
14;10;53820.8177643;24.4876709302;3
14;10;53226.993991;24.2688252603;4
14;10;52950.7968848;24.0156282873;5
14;10;53098.1515256;23.7340772293;6
14;10;53720.2163079;23.4381303932;7
14;10;54867.0928269;23.1533183275;8
14;10;56618.507173;22.9175641564;9
14;10;58970.5706287;22.7527203342;10
14;11;34014.8199388;18.484548087;0
14;11;33972.5952652;18.4615067208;1
14;11;33873.2820289;18.3909342789;2
14;11;33787.6726657;18.2770579726;3
14;11;33838.7065281;18.1332892957;4
14;11;34124.004115;17.9669538419;5
14;11;34675.0605694;17.7819914293;6
14;11;35499.5271462;17.5875718408;7
14;11;36608.9650982;17.4094722269;8
14;11;38032.8432564;17.3110291317;9
14;11;39761.6560638;17.3765107222;10
14;12;23758.3911171;14.2941553964;0
14;12;23771.5179683;14.2806948466;1
14;12;23824.5291364;14.2406077586;2
14;12;23944.4031816;14.1798968438;3
14;12;24179.4196801;14.1219583312;4
14;12;24563.1998722;14.0880365104;5
14;12;25096.4241803;14.0902094858;6
14;12;25771.4882274;14.1423769184;7
14;12;26585.2135538;14.2722828244;8
14;12;27544.1602904;14.5298978979;9
14;12;28639.5420706;14.8930559726;10
14;13;19813.056172;13.0966553748;0
14;13;19831.9094814;13.0960288436;1
14;13;19893.648121;13.0959744274;2
14;13;20005.1577932;13.1017901705;3
14;13;20179.5185898;13.122863171;4
14;13;20423.4114028;13.1632067636;5
14;13;20731.0024735;13.2330060693;6
14;13;21094.7690351;13.3462567964;7
14;13;21509.8756663;13.484490522;8
14;13;21975.5187142;13.6512621222;9
14;13;22486.7157613;13.8448298982;10
15;10;47226.3240909;22.5637686225;0
15;10;46988.862519;22.524029815;1
15;10;46337.6486909;22.4023154751;2
15;10;45463.2814326;22.2059161569;3
15;10;44681.5537507;21.9579622935;4
15;10;44271.7852678;21.6710881337;5
15;10;44374.3619348;21.3520885729;6
15;10;45052.7361294;21.0167784823;7
15;10;46356.2455772;20.6940841742;8
15;10;48358.2959112;20.4311297558;9
15;10;51045.1093996;20.3122504067;10
15;11;27184.2298029;16.2448028984;0
15;11;27116.3673797;16.217096451;1
15;11;26949.3459415;16.1322355262;2
15;11;26778.8867398;15.9953031993;3
15;11;26764.3121888;15.8224263288;4
15;11;27039.8579889;15.6224136882;5
15;11;27657.5996055;15.4000027728;6
15;11;28630.5647739;15.1674871592;7
15;11;29967.4767536;15.0035845574;8
15;11;31691.9706933;15.0042456952;9
15;11;33786.0823509;15.4189065469;10
15;12;17845.5759827;12.2211033875;0
15;12;17852.072784;12.2029777565;1
