spect,MCH1,error,eCH1,MCH2,eCH2
6,7.12,1,0.1,7.05,0.3
6.5,6.84,2,0.2,6.76,0.3
6.5,10.32,2,0.2,10.35,0.3
6.5,7.51,3,0.3,7.46,0.3
7,8.47,3,0.3,8.39,0.3
7,8.37,2,0.2,8.28,0.3
8,11.3,8,0.8,11,0.5
8,8.29,2,0.2,8.15,0.3
8.5,8.55,2,0.2,8.39,0.2
9,8.87,3,0.3,8.59,0.3
9,9.41,3,0.3,9.22,0.2
9,10.16,3,0.3,10.16,0.4
9.5,9.94,3,0.3,9.91,0.1
11,10.91,2,0.2,10.82,0.3
