Phase Flux
0.713828886122 0.00146503803027
0.715348109121 0.00124326854631
0.716866947116 0.00136426068767
0.71838607512 0.00138285273447
0.719905199119 0.00127061443658
0.72142509412 0.00123227382452
0.722944699119 0.00122535359571
0.724463471123 0.00133403712716
0.725982309119 0.00128036213419
0.727501517123 0.00145319884776
0.729020331117 0.00150416020392
0.730539525119 0.00131411924179
0.732058414119 0.0011946616963
0.733578234114 0.00119852044267
0.735099487118 0.00158737921677
0.736618288119 0.00141708983058
0.738137400122 0.00166079930347
0.739656507116 0.00164860543347
0.741176310123 0.00176176945627
0.74269591512 0.00125170062328
0.744214937119 0.00144446590335
0.745733559122 0.00132570783239
0.747253411119 0.00149901331614
0.74877340712 0.00145649108583
0.750292061121 0.00154931386778
0.751811348119 0.00138392570697
0.753331299119 0.00153207052896
0.754850735121 0.00132409128652
0.75636971812 0.00129853882323
0.757888396121 0.00128550776583
0.759409366115 0.00132426262843
0.760928130119 0.001458768647
0.762446920118 0.00154310924373
0.763966344119 0.00124069890439
0.765484969118 0.00176046520043
0.767004201117 0.00151990262854
0.768523281119 0.00152474008022
0.770041743118 0.00163361171166
0.771561206117 0.00142148649988
0.773080025118 0.00168213853236
0.77459950612 0.00139873756677
0.776119587117 0.00158776776
0.777639816124 0.00148087623529
0.779158981121 0.00142433899122
0.780678109121 0.00123255048415
0.782198122122 0.00141268943454
0.783719188124 0.00137530443262
0.785237966117 0.00147298272815
0.786764966113 0.00162228539543
0.788286874121 0.00156366827846
0.789805525122 0.0013791408368
0.791324381118 0.00159639053304
0.792843729122 0.0016017956639
0.794362097121 0.00176890884767
0.795881723118 0.00166694258473
0.797400552123 0.00122904892429
0.79891901612 0.00148357480163
0.800438801117 0.00173919208538
0.801958899122 0.00138538224988
0.803477747119 0.00146888411992
0.804997010116 0.00152511861972
0.80651551212 0.00130748762353
0.808034896117 0.00152955811647
0.809553784118 0.00145912446554
0.811072373121 0.00130709018675
0.812592087122 0.00123049581044
0.814110808122 0.00127364449854
0.815629627118 0.00149453959079
0.817149121123 0.00141117168635
0.818667376117 0.00170307843728
0.820186887123 0.00160363978091
0.82170578912 0.00157462624843
0.823224293117 0.00171702232381
0.824743882119 0.00134908841396
0.826262555119 0.00153347136781
0.827781405121 0.00139314053606
0.829300774118 0.00143244309414
0.83081918212 0.00134582261841
0.83233881312 0.00143476983304
0.833857560116 0.00111218382681
0.835376395121 0.00141906925127
0.83689580412 0.00138011693698
0.838414529121 0.00118387591496
0.839933310117 0.00144140740083
0.841452733119 0.00147490798799
0.842971046119 0.00149249788596
0.84449297012 0.00167337476155
0.846012602119 0.00163956978698
0.847530981121 0.00162074546071
0.849051337117 0.00169120904388
0.85066758912 0.00162181989222
0.852270413119 0.0014544717497
0.853789588121 0.00150290241126
0.85530820712 0.00178007704474
0.856827780119 0.00149107504534
0.858347987121 0.00145753718166
0.859866809118 0.00153156426477
0.86138627912 0.00149204844918
0.862905086126 0.00147262685678
0.86442388612 0.00135638392395
0.865943242117 0.00159731131447
0.867461553118 0.0016167468303
0.86898117312 0.00142547288369
0.870500026119 0.00153557440167
0.872019629117 0.00149550578716
0.87353953812 0.00161640609442
0.875058397118 0.0015076955324
0.87657714712 0.0011794968711
0.878096403117 0.00126227765882
0.879614910121 0.00140884985856
0.881134535116 0.00119438506502
0.88265340412 0.00118650669954
0.884172287123 0.0014038019444
0.885691588119 0.00130583584964
0.887210331121 0.00130106771236
0.888729057117 0.00132238825769
0.890248471119 0.00136152483187
0.891766803117 0.00116859958919
0.893286379118 0.00114459907288
0.894805271122 0.00128263080526
0.896323843117 0.0013442499298
0.897843279121 0.00140646167683
0.89936212612 0.00154657444632
0.900880870121 0.00119304709932
0.90240018812 0.0013209630568
0.903918669119 0.00127753761085
0.905438240121 0.00137176326785
0.906957204117 0.00140937398486
0.90847571112 0.00129720240838
0.90999525612 0.00116527406171
0.911514013118 0.00118970219196
0.913032788125 0.00171963392318
0.914552204119 0.00148361281153
0.916070467121 0.00149497701744
0.917590197117 0.00142922446768
0.919108936115 0.00137890485866
0.920628993121 0.00153999584483
0.922148553117 0.00151505562725
0.923667426121 0.00159678864245
0.925186082114 0.00140143780137
0.926705396114 0.00121265508681
0.928223828118 0.00145450604918
0.929743475119 0.00129306585692
0.931262786118 0.00124771408495
0.932782711119 0.00131176854613
0.934302107117 0.00140793386972
0.935820837118 0.00117894636798
0.93733950312 0.00125383765551
0.938858844124 0.00118798903977
0.940377254115 0.00145289220103
0.941896811119 0.00135914738004
0.943415788122 0.00119309953186
0.944934321122 0.00146319534159
0.946453791117 0.00136125265515
0.947972512122 0.00135086932341
0.949491314119 0.00123311044969
0.951010660116 0.0012980409809
0.952529160121 0.00133705508267
0.954049667126 0.00128632026304
0.955568403117 0.00113000111745
0.957088044118 0.00112775956027
0.958608099119 0.00129561470978
0.96012689512 0.00119984936195
0.961645729119 0.00100690857106
0.96316498512 0.00115055746893
0.964683543119 0.00107887359051
0.966202998119 0.00101128932742
0.967721827119 0.00107881912433
0.969240497121 0.000954783923138
0.970759958117 0.00112202558169
0.972278738123 0.000706347420679
0.973797561119 0.000607274805896
0.975316850115 0.000201211786695
0.97683542212 0.000157932024284
0.97835485512 0.000116157970589
1.02848113212 9.52663238096e-05
1.02999993212 0.000113850583668
1.03151926011 0.000188264333288
1.03303800412 0.000510183003797
1.03455687112 0.000494628048854
1.03607612312 0.000788544898579
1.03759465812 0.000886218955162
1.03911409012 0.00112786070193
1.04063294012 0.000861768360624
1.04215162812 0.000834198014555
1.04367104911 0.00112119472021
